Geo_FIPS,Geo_NAME,Geo_QName,Geo_NATION,Geo_STATE,Geo_COUNTY,Geo_CT,SE_T007_001,SE_T007_002,SE_T007_003,SE_T007_004,SE_T007_005,60_64
19001,Adair County,"Adair County, Iowa",0,19,1,,9487,3083,1439,3366,1599,594
19003,Adams County,"Adams County, Iowa",0,19,3,,6322,2007,1042,2201,1076,422
19005,Allamakee County,"Allamakee County, Iowa",0,19,5,,14968,5595,2340,4641,2394,743
19007,Appanoose County,"Appanoose County, Iowa",0,19,7,,15007,4404,2740,5044,2832,919
19009,Audubon County,"Audubon County, Iowa",0,19,9,,9595,3394,1349,3364,1488,486
19011,Benton County,"Benton County, Iowa",0,19,11,,22885,8281,4174,7393,3041,1039
19013,Black Hawk County,"Black Hawk County, Iowa",0,19,13,,132916,47662,34011,39003,12140,5149
19015,Boone County,"Boone County, Iowa",0,19,15,,26470,8288,5520,8370,4287,1361
19017,Bremer County,"Bremer County, Iowa",0,19,17,,22737,7778,5489,6727,2744,1038
19019,Buchanan County,"Buchanan County, Iowa",0,19,19,,21746,8619,4170,6459,2498,943
19021,Buena Vista County,"Buena Vista County, Iowa",0,19,21,,20693,6954,3759,6928,3057,945
19023,Butler County,"Butler County, Iowa",0,19,23,,16953,5860,2872,5775,2446,919
19025,Calhoun County,"Calhoun County, Iowa",0,19,25,,14287,4610,2439,4784,2460,781
19027,Carroll County,"Carroll County, Iowa",0,19,27,,22912,9326,3441,7108,3037,1052
19029,Cass County,"Cass County, Iowa",0,19,29,,17007,5490,3052,5536,2929,962
19031,Cedar County,"Cedar County, Iowa",0,19,31,,17655,6146,3379,5653,2478,850
19033,Cerro Gordo County,"Cerro Gordo County, Iowa",0,19,33,,49335,16328,10267,16395,6334,2253
19035,Cherokee County,"Cherokee County, Iowa",0,19,35,,17269,6239,3084,5603,2343,839
19037,Chickasaw County,"Chickasaw County, Iowa",0,19,37,,14969,5802,2610,4543,2018,697
19039,Clarke County,"Clarke County, Iowa",0,19,39,,7581,2225,1409,2594,1353,477
19041,Clay County,"Clay County, Iowa",0,19,41,,18464,6479,3495,6068,2422,890
19043,Clayton County,"Clayton County, Iowa",0,19,43,,20606,7239,3394,6904,3070,1107
19045,Clinton County,"Clinton County, Iowa",0,19,45,,56749,20455,11855,17917,6509,2503
19047,Crawford County,"Crawford County, Iowa",0,19,47,,18780,6748,3898,5684,2453,804
19049,Dallas County,"Dallas County, Iowa",0,19,49,,26085,9206,5102,8216,3550,1163
19051,Davis County,"Davis County, Iowa",0,19,51,,8207,2558,1428,2837,1378,474
